primary,oxydb_mac_2020,genbank,genbank.1,number,mds_ies_db_2015
Contig4241.0i1,Contig4241.0i1,AMCR02007791,AMCR02007791.1,4241.0i1,
Contig4241.0i1v1,Contig4241.0i1v1,AMCR02007792,AMCR02007792.1,4241.0i1v1,
Contig4243.0,Contig4243.0,AMCR02007793,AMCR02007793.1,4243.0,OXYTRI_MAC_4243
Contig4246.0,Contig4246.0,AMCR02007794,AMCR02007794.1,4246.0,OXYTRI_MAC_4246
Contig4246.0i1,Contig4246.0i1,AMCR02007795,AMCR02007795.1,4246.0i1,
Contig4247.0,Contig4247.0,AMCR02007796,AMCR02007796.1,4247.0,OXYTRI_MAC_4247
Contig4248.0,Contig4248.0,AMCR02007797,AMCR02007797.1,4248.0,OXYTRI_MAC_4248
Contig4249.0,Contig4249.0,AMCR02007798,AMCR02007798.1,4249.0,OXYTRI_MAC_4249
Contig4252.0,Contig4252.0,AMCR02007799,AMCR02007799.1,4252.0,OXYTRI_MAC_4252
Contig4252.0v1,Contig4252.0v1,AMCR02007800,AMCR02007800.1,4252.0v1,
Contig4252.0v2,Contig4252.0v2,AMCR02007801,AMCR02007801.1,4252.0v2,
Contig4253.0,Contig4253.0,AMCR02007802,AMCR02007802.1,4253.0,OXYTRI_MAC_4253
Contig4255.0,Contig4255.0,AMCR02007803,AMCR02007803.1,4255.0,OXYTRI_MAC_4255
Contig4255.0v1,Contig4255.0v1,AMCR02007804,AMCR02007804.1,4255.0v1,
Contig4256.0.0,Contig4256.0.0,AMCR02007805,AMCR02007805.1,4256.0.0,OXYTRI_MAC_4256
Contig4256.0.0i1,Contig4256.0.0i1,AMCR02007806,AMCR02007806.1,4256.0.0i1,
Contig4257.0,Contig4257.0,AMCR02007807,AMCR02007807.1,4257.0,OXYTRI_MAC_4257
Contig4258.0,Contig4258.0,AMCR02007808,AMCR02007808.1,4258.0,OXYTRI_MAC_4258
Contig4258.0i1,Contig4258.0i1,AMCR02007809,AMCR02007809.1,4258.0i1,
Contig4258.0i1v1,Contig4258.0i1v1,AMCR02007810,AMCR02007810.1,4258.0i1v1,
Contig4259.0.0,Contig4259.0.0,AMCR02007811,AMCR02007811.1,4259.0.0,OXYTRI_MAC_4259
Contig4260.0,Contig4260.0,AMCR02007812,AMCR02007812.1,4260.0,OXYTRI_MAC_4260
Contig4260.0i1,Contig4260.0i1,AMCR02007813,AMCR02007813.1,4260.0i1,
Contig4260.0i1v1,Contig4260.0i1v1,AMCR02007814,AMCR02007814.1,4260.0i1v1,
Contig4261.0,Contig4261.0,AMCR02007815,AMCR02007815.1,4261.0,OXYTRI_MAC_4261
Contig4261.0i1,Contig4261.0i1,AMCR02007816,AMCR02007816.1,4261.0i1,
Contig4261.0i1v1,Contig4261.0i1v1,AMCR02007817,AMCR02007817.1,4261.0i1v1,
Contig4262.0,Contig4262.0,AMCR02007818,AMCR02007818.1,4262.0,OXYTRI_MAC_4262
Contig4263.0,Contig4263.0,AMCR02007819,AMCR02007819.1,4263.0,OXYTRI_MAC_4263
Contig4263.0v1,Contig4263.0v1,AMCR02007820,AMCR02007820.1,4263.0v1,
Contig4264.0.0,Contig4264.0.0,AMCR02007821,AMCR02007821.1,4264.0.0,OXYTRI_MAC_4264
Contig4264.0.0v1,Contig4264.0.0v1,AMCR02007822,AMCR02007822.1,4264.0.0v1,
Contig4266.0,Contig4266.0,AMCR02007823,AMCR02007823.1,4266.0,OXYTRI_MAC_4266
Contig4266.0v1,Contig4266.0v1,AMCR02007824,AMCR02007824.1,4266.0v1,
Contig4267.0.0,Contig4267.0.0,AMCR02007825,AMCR02007825.1,4267.0.0,OXYTRI_MAC_4267
Contig4268.0,Contig4268.0,AMCR02007826,AMCR02007826.1,4268.0,OXYTRI_MAC_4268
Contig4273.0,Contig4273.0,AMCR02007827,AMCR02007827.1,4273.0,OXYTRI_MAC_4273
