primary,oxydb_mac_2012,number,mds_ies_db_2015
Contig22986.0.0,Contig22986.0.0,22986.0.0,OXYTRI_MAC_22986
Contig22987.0,Contig22987.0,22987.0,OXYTRI_MAC_22987
Contig13889.0,Contig13889.0,13889.0,OXYTRI_MAC_13889
Contig13888.0,Contig13888.0,13888.0,OXYTRI_MAC_13888
Contig13887.0,Contig13887.0,13887.0,OXYTRI_MAC_13887
Contig13886.0,Contig13886.0,13886.0,OXYTRI_MAC_13886
Contig13885.0,Contig13885.0,13885.0,OXYTRI_MAC_13885
Contig13884.0,Contig13884.0,13884.0,OXYTRI_MAC_13884
Contig13883.0,Contig13883.0,13883.0,OXYTRI_MAC_13883
Contig13882.0,Contig13882.0,13882.0,OXYTRI_MAC_13882
Contig13881.0,Contig13881.0,13881.0,OXYTRI_MAC_13881
Contig13880.0,Contig13880.0,13880.0,OXYTRI_MAC_13880
Contig7573.0.0,Contig7573.0.0,7573.0.0,OXYTRI_MAC_7573
Contig7572.0.1,Contig7572.0.1,7572.0.1,OXYTRI_MAC_7572
Contig7571.0,Contig7571.0,7571.0,OXYTRI_MAC_7571
Contig7570.0.1,Contig7570.0.1,7570.0.1,OXYTRI_MAC_7570
Contig7577.0,Contig7577.0,7577.0,OXYTRI_MAC_7577
Contig7576.0,Contig7576.0,7576.0,OXYTRI_MAC_7576
Contig7575.0,Contig7575.0,7575.0,OXYTRI_MAC_7575
Contig7574.0,Contig7574.0,7574.0,OXYTRI_MAC_7574
Contig7579.0,Contig7579.0,7579.0,OXYTRI_MAC_7579
Contig7578.0,Contig7578.0,7578.0,OXYTRI_MAC_7578
Contig22674.0,Contig22674.0,22674.0,OXYTRI_MAC_22674
Contig22675.0,Contig22675.0,22675.0,OXYTRI_MAC_22675
Contig22676.0,Contig22676.0,22676.0,OXYTRI_MAC_22676
Contig22677.0,Contig22677.0,22677.0,OXYTRI_MAC_22677
Contig22670.0,Contig22670.0,22670.0,OXYTRI_MAC_22670
Contig22671.0,Contig22671.0,22671.0,OXYTRI_MAC_22671
Contig22672.0,Contig22672.0,22672.0,OXYTRI_MAC_22672
Contig22673.0,Contig22673.0,22673.0,OXYTRI_MAC_22673
Contig22678.0,Contig22678.0,22678.0,OXYTRI_MAC_22678
Contig22679.0,Contig22679.0,22679.0,OXYTRI_MAC_22679
Contig18239.0,Contig18239.0,18239.0,OXYTRI_MAC_18239
Contig18238.0,Contig18238.0,18238.0,OXYTRI_MAC_18238
Contig13229.0,Contig13229.0,13229.0,OXYTRI_MAC_13229
Contig13223.0,Contig13223.0,13223.0,OXYTRI_MAC_13223
Contig13221.0,Contig13221.0,13221.0,OXYTRI_MAC_13221
Contig13227.0.1,Contig13227.0.1,13227.0.1,OXYTRI_MAC_13227
Contig18234.0,Contig18234.0,18234.0,OXYTRI_MAC_18234
Contig13225.0,Contig13225.0,13225.0,OXYTRI_MAC_13225
Contig13224.0.1,Contig13224.0.1,13224.0.1,OXYTRI_MAC_13224
Contig19548.0,Contig19548.0,19548.0,OXYTRI_MAC_19548
Contig19549.0,Contig19549.0,19549.0,OXYTRI_MAC_19549
Contig19540.0.1,Contig19540.0.1,19540.0.1,
Contig19541.0,Contig19541.0,19541.0,OXYTRI_MAC_19541
Contig19542.0,Contig19542.0,19542.0,OXYTRI_MAC_19542
Contig19543.0,Contig19543.0,19543.0,OXYTRI_MAC_19543
Contig19544.0,Contig19544.0,19544.0,OXYTRI_MAC_19544
Contig19545.0,Contig19545.0,19545.0,OXYTRI_MAC_19545
Contig19546.0,Contig19546.0,19546.0,OXYTRI_MAC_19546
Contig19547.0,Contig19547.0,19547.0,OXYTRI_MAC_19547
Contig21514.0,Contig21514.0,21514.0,OXYTRI_MAC_21514
Contig21515.0,Contig21515.0,21515.0,OXYTRI_MAC_21515
Contig21516.0,Contig21516.0,21516.0,OXYTRI_MAC_21516
Contig21517.0,Contig21517.0,21517.0,OXYTRI_MAC_21517
Contig21510.0,Contig21510.0,21510.0,OXYTRI_MAC_21510
Contig21511.0,Contig21511.0,21511.0,OXYTRI_MAC_21511
Contig21512.0,Contig21512.0,21512.0,OXYTRI_MAC_21512
Contig21513.0,Contig21513.0,21513.0,OXYTRI_MAC_21513
Contig21518.0,Contig21518.0,21518.0,OXYTRI_MAC_21518
Contig21519.0,Contig21519.0,21519.0,OXYTRI_MAC_21519
Contig15319.0,Contig15319.0,15319.0,OXYTRI_MAC_15319
Contig15318.0.1,Contig15318.0.1,15318.0.1,OXYTRI_MAC_15318
Contig15318.0.2,Contig15318.0.2,15318.0.2,
Contig10149.0.1,Contig10149.0.1,10149.0.1,OXYTRI_MAC_10149
Contig10148.0,Contig10148.0,10148.0,OXYTRI_MAC_10148
Contig10143.0,Contig10143.0,10143.0,OXYTRI_MAC_10143
Contig10142.0,Contig10142.0,10142.0,OXYTRI_MAC_10142
Contig10141.0,Contig10141.0,10141.0,OXYTRI_MAC_10141
Contig10140.0,Contig10140.0,10140.0,OXYTRI_MAC_10140
Contig10147.0.0,Contig10147.0.0,10147.0.0,OXYTRI_MAC_10147
Contig10146.0,Contig10146.0,10146.0,OXYTRI_MAC_10146
Contig10145.0,Contig10145.0,10145.0,OXYTRI_MAC_10145
