primary,oxydb_mac_gene_2020
g38582,g38582
g20828,g20828
g26057,g26057
g26058,g26058
g32458,g32458
g32459,g32459
g32460,g32460
g32461,g32461
g29991,g29991
g29992,g29992
g44244,g44244
g31855,g31855
g25741,g25741
g1742,g1742
g1748,g1748
g1749,g1749
g47482,g47482
g47483,g47483
g27856,g27856
g27870,g27870
g36370,g36370
g39387,g39387
g26889,g26889
g9661,g9661
g21561,g21561
g46484,g46484
g46485,g46485
g13111,g13111
g13112,g13112
g20387,g20387
g26810,g26810
g14421,g14421
g14422,g14422
g14423,g14423
g30449,g30449
g30450,g30450
g30451,g30451
g30435,g30435
g30436,g30436
g11360,g11360
g35256,g35256
g35257,g35257
g20122,g20122
g28209,g28209
g32015,g32015
g34885,g34885
g6553,g6553
g6563,g6563
g13925,g13925
g12626,g12626
g12627,g12627
g31504,g31504
g31505,g31505
g31496,g31496
g31499,g31499
g35740,g35740
g36620,g36620
g36621,g36621
g36622,g36622
g35366,g35366
g35367,g35367
g27319,g27319
g27320,g27320
g27321,g27321
g10923,g10923
g10924,g10924
g34131,g34131
g28244,g28244
g32917,g32917
g32918,g32918
g16455,g16455
g40928,g40928
g13145,g13145
g13146,g13146
g20594,g20594
g20602,g20602
g20614,g20614
g20651,g20651
g20634,g20634
g8534,g8534
g8535,g8535
g4165,g4165
g4166,g4166
g47409,g47409
g47410,g47410
g13785,g13785
g13786,g13786
g3424,g3424
g3425,g3425
g39925,g39925
g39926,g39926
g20672,g20672
g20673,g20673
g35037,g35037
g28336,g28336
g38316,g38316
g1535,g1535
g34671,g34671
g28221,g28221
g24331,g24331
g24332,g24332
g31189,g31189
g31190,g31190
g24343,g24343
g13020,g13020
g34270,g34270
g34271,g34271
g34272,g34272
g16383,g16383
g2291,g2291
g6484,g6484
g16716,g16716
g38115,g38115
g27877,g27877
g46781,g46781
g6532,g6532
g6533,g6533
g36768,g36768
g9799,g9799
g9800,g9800
g40831,g40831
g534,g534
g21700,g21700
g24933,g24933
g25875,g25875
g21785,g21785
g48107,g48107
g38982,g38982
g992,g992
g40503,g40503
g979,g979
g1012,g1012
g21060,g21060
g13170,g13170
g42054,g42054
g3044,g3044
g12831,g12831
g45793,g45793
g42837,g42837
g10477,g10477
g24128,g24128
g33642,g33642
g33643,g33643
g21881,g21881
g21882,g21882
g47544,g47544
g34673,g34673
g29174,g29174
g29175,g29175
g20190,g20190
g20191,g20191
g21142,g21142
g21143,g21143
g21144,g21144
g21145,g21145
g21146,g21146
g17048,g17048
g9406,g9406
g39450,g39450
g37268,g37268
g26857,g26857
g28438,g28438
g28439,g28439
g12248,g12248
g12249,g12249
g22695,g22695
g33713,g33713
g42507,g42507
g42508,g42508
g42509,g42509
g42510,g42510
g36381,g36381
g36382,g36382
g91,g91
g92,g92
g102,g102
g107,g107
g35504,g35504
g35509,g35509
g30911,g30911
g30403,g30403
g8770,g8770
g2570,g2570
g16034,g16034
g3326,g3326
g47824,g47824
g20544,g20544
g3785,g3785
g32952,g32952
g3689,g3689
g3705,g3705
g3719,g3719
g36811,g36811
g19913,g19913
g33551,g33551
g21836,g21836
g22773,g22773
g20853,g20853
g20859,g20859
g20082,g20082
g43924,g43924
g20007,g20007
g14659,g14659
g20011,g20011
g36301,g36301
g36302,g36302
g4776,g4776
g4777,g4777
g4780,g4780
g47848,g47848
g1149,g1149
g39814,g39814
g6961,g6961
g28131,g28131
g32358,g32358
g32373,g32373
g32396,g32396
g3944,g3944
g3945,g3945
g44215,g44215
g33420,g33420
g47564,g47564
g47565,g47565
g42404,g42404
g30761,g30761
g38409,g38409
g32097,g32097
g6015,g6015
g27193,g27193
g27194,g27194
g45880,g45880
g29402,g29402
g43512,g43512
g46660,g46660
g24910,g24910
g24911,g24911
g18035,g18035
g24857,g24857
g17670,g17670
g17671,g17671
g11223,g11223
g11225,g11225
g21573,g21573
g29949,g29949
g35396,g35396
g22758,g22758
g22759,g22759
g24072,g24072
g24073,g24073
g31837,g31837
g22213,g22213
g45775,g45775
g8460,g8460
g8461,g8461
g8462,g8462
g13481,g13481
g13482,g13482
g13483,g13483
g29049,g29049
g19998,g19998
g42475,g42475
g42476,g42476
g10580,g10580
g10581,g10581
g36098,g36098
g36099,g36099
g24957,g24957
g24958,g24958
g24944,g24944
g24949,g24949
g42768,g42768
g39946,g39946
g46203,g46203
g46204,g46204
g31826,g31826
g43050,g43050
g43051,g43051
g43052,g43052
g32156,g32156
g32157,g32157
g21544,g21544
g5071,g5071
g27579,g27579
g47923,g47923
g21267,g21267
g31378,g31378
g1076,g1076
g1071,g1071
g39590,g39590
g27330,g27330
g30111,g30111
g7901,g7901
g7902,g7902
g26468,g26468
g30757,g30757
g8993,g8993
g20920,g20920
g39755,g39755
g39756,g39756
g23557,g23557
g23558,g23558
g32565,g32565
g38726,g38726
g15339,g15339
g35427,g35427
g43132,g43132
g39983,g39983
g39732,g39732
g39828,g39828
g13237,g13237
g47386,g47386
g47387,g47387
g15969,g15969
g15970,g15970
g39417,g39417
g6288,g6288
g6289,g6289
g6290,g6290
g15206,g15206
g15207,g15207
g15208,g15208
g15216,g15216
g15217,g15217
g15218,g15218
g35207,g35207
g15220,g15220
g27267,g27267
g33775,g33775
g33780,g33780
g37432,g37432
g33794,g33794
g33173,g33173
g15066,g15066
g19083,g19083
g7169,g7169
g6192,g6192
g33810,g33810
g40154,g40154
g12798,g12798
g20729,g20729
g39895,g39895
g21097,g21097
g21098,g21098
g44724,g44724
g44725,g44725
g44726,g44726
g20765,g20765
g20766,g20766
