primary,oxydb_mic_2014,mds_ies_db_2015,genbank,genbank.1,number
OXYTRI_MIC_67376,ctg7180000067376,OXYTRI_MIC_67376,ARYC01000227,ARYC01000227.1,67376
OXYTRI_MIC_67377,ctg7180000067377,OXYTRI_MIC_67377,ARYC01000228,ARYC01000228.1,67377
OXYTRI_MIC_67378,ctg7180000067378,OXYTRI_MIC_67378,ARYC01000229,ARYC01000229.1,67378
OXYTRI_MIC_67379,ctg7180000067379,OXYTRI_MIC_67379,ARYC01000230,ARYC01000230.1,67379
OXYTRI_MIC_67380,ctg7180000067380,OXYTRI_MIC_67380,ARYC01000231,ARYC01000231.1,67380
OXYTRI_MIC_67381,ctg7180000067381,OXYTRI_MIC_67381,ARYC01000232,ARYC01000232.1,67381
OXYTRI_MIC_67382,ctg7180000067382,OXYTRI_MIC_67382,ARYC01000233,ARYC01000233.1,67382
OXYTRI_MIC_67383,ctg7180000067383,OXYTRI_MIC_67383,ARYC01000234,ARYC01000234.1,67383
OXYTRI_MIC_67384,ctg7180000067384,OXYTRI_MIC_67384,ARYC01000235,ARYC01000235.1,67384
OXYTRI_MIC_67385,ctg7180000067385,OXYTRI_MIC_67385,ARYC01000236,ARYC01000236.1,67385
OXYTRI_MIC_67386,ctg7180000067386,OXYTRI_MIC_67386,ARYC01000237,ARYC01000237.1,67386
